gene_id,S17S17_1,S17S17_2,S17S17_3,S17SDMSO_1,S17SDMSO_2,S17SDMSO_3,S5S1_1,S5S1_2,S5S1_3,S5SDMSO_1,S5SDMSO_2,S5SDMSO_3,S17S18_1,S17S18_2,S17S18_3,S13S8_1,S13S8_2,S13S8_3,S13SDMSO_1,S13SDMSO_2,S13SDMSO_3,S6S6_1,S6S6_2,S6S6_3,S6SDMSO_1,S6SDMSO_2,S6SDMSO_3
RRP8,0.705805,0.710995,0.559444,0.846789,0.807152,0.737488,0.744282,0.678811,0.575977,0.72619,0.842606,0.674545,0.701928,0.618187,0.718368,0.944462,0.74803,0.889013,0.869539,1.10937,1.19608,0.699519,0.633644,0.669236,0.663823,0.780112,0.695289
RRP9,6.49024,8.20195,5.10367,7.48544,8.97577,8.42931,6.36307,7.66459,6.0901,6.0009,5.80116,5.6844,6.13289,5.28475,6.59135,10.9553,10.2132,10.0936,10.1388,12.7149,11.0876,7.08904,5.04845,5.21851,9.04334,8.84108,8.28117
RRS1,15.7546,18.7616,13.2308,19.1118,18.5137,18.6283,15.2112,16.34,13.2198,14.4735,14.3819,15.3428,17.1342,14.5075,14.4623,18.4662,17.1928,18.8928,27.9269,28.3723,23.9023,20.3137,18.8188,18.1293,20.175,20.3238,22.7537
RS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSAD1,19.1127,21.1788,14.7524,15.8047,16.2518,14.8925,16.4449,16.5453,15.3427,16.5819,17.7577,17.4393,16.8718,19.9569,18.6195,16.7769,15.3302,15.9974,17.3085,21.4418,20.4337,17.3417,15.1934,16.4443,19.5951,19.8048,18.5789
RSAD2,0.0,0.0247863,0.0,0.0124976,0.0357905,0.0245842,0.0,0.011209,0.0,0.0110375,0.0228372,0.0121034,0.0261836,0.025932,0.0,0.0,0.0,0.0,0.0,0.0118157,0.0,0.0222889,0.0325305,0.0232829,0.0,0.0,0.0
RSBN1,3.07993,2.68057,2.96123,3.15855,3.17464,3.12139,4.00968,3.54769,3.98372,4.31856,4.28794,4.26909,3.33006,3.69269,3.42121,2.13093,2.50237,2.18621,2.54233,1.62277,1.93571,4.18748,4.17747,4.67655,4.07391,3.53404,3.35673
RSBN1L,5.08422,5.82235,5.73687,4.81431,6.03108,4.56955,5.34806,4.35547,5.23371,5.78902,5.19516,5.02726,6.05835,5.54911,5.30549,2.40022,2.65887,3.0077,4.81877,2.24201,2.67996,5.7341,5.24644,6.14741,5.34119,4.2506,4.96865
RSC1A1,5.45008,5.27901,5.26677,5.05277,5.13497,4.75975,7.75854,5.86745,7.98026,5.99787,6.14678,6.47986,5.49424,6.2835,5.81118,3.2106,4.34107,3.17069,5.5792,2.05432,4.25474,6.37369,8.32059,8.01271,6.10626,6.20152,5.61531
RSF1,6.30162,5.43237,7.35671,6.06842,5.91219,5.43162,5.49448,2.8613,5.79266,5.56787,4.95611,4.87726,6.5675,6.65218,6.83522,1.31172,1.78679,1.82644,3.13688,0.523815,1.21651,5.25355,7.11873,7.0704,4.17252,2.65113,3.07191
RSL1D1,23.8912,26.6897,32.0414,31.9667,31.2011,35.2495,25.3472,20.9554,25.5162,25.559,25.0815,23.8484,27.3866,25.091,23.6458,12.4586,14.5523,14.3945,24.3146,11.9621,16.3668,27.4069,30.0713,31.6196,27.2908,25.3679,26.0052
RSL24D1,67.3513,62.9121,89.3426,75.1534,71.7335,74.8312,70.495,66.3382,70.0948,100.063,101.833,99.9045,77.4578,68.2236,67.9333,39.4322,33.4588,37.0498,46.4318,32.4506,44.4783,108.625,113.637,116.738,97.4715,93.749,104.147
RSPH1,1.83866,1.36736,1.84323,2.36597,2.01633,2.26568,0.854216,1.00483,1.19653,1.1571,1.09143,1.25027,1.18235,1.0789,1.97338,0.749946,1.15603,1.09819,1.4963,1.39611,1.19006,1.28895,1.42543,1.47899,0.992831,1.18319,1.4391
RSPH10B,0.0,0.0,0.0101216,0.0,0.00995085,0.0,0.0,0.0,0.0,0.0,0.0,0.0103969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216375,0.0,0.0,0.0,0.0,0.0,0.0
RSPH10B2,0.0,0.0210435,0.0,0.0,0.029552,0.0,0.0193655,0.0188881,0.00971488,0.0,0.00970717,0.0,0.0105866,0.0,0.0203732,0.0,0.0,0.0,0.0100376,0.0298037,0.0,0.0,0.0,0.0300431,0.0,0.0232135,0.0209799
RSPH14,0.0209749,0.0198923,0.0583256,0.0391991,0.0188812,0.0396364,0.0181854,0.0362029,0.0549561,0.0181561,0.0,0.0192912,0.0403504,0.0205221,0.0760239,0.0,0.0543247,0.0177301,0.0397209,0.0187486,0.0403462,0.0,0.0536259,0.0,0.0184699,0.020678,0.0
RSPH3,1.68415,1.79734,2.04621,1.51015,1.43246,1.4106,1.86845,1.57726,1.76469,1.96153,1.76733,1.51993,1.59992,1.83831,1.50841,1.40728,1.63075,1.46456,1.42845,1.14197,1.10938,1.56328,1.80421,1.95739,1.51432,1.62767,1.4547
RSPH4A,0.0506922,0.0670263,0.066628,0.0,0.0257354,0.0,0.0191701,0.0120281,0.0505785,0.0292178,0.0239961,0.0128816,0.0283414,0.0346476,0.0204265,0.0065437,0.00679095,0.0131337,0.0371704,0.00639772,0.040853,0.0,0.0173544,0.0,0.0,0.0148612,0.026357
RSPH6A,0.0,0.0,0.0,0.0,0.0,0.0323162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPH9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPO1,0.0142598,0.0,0.0258021,0.0,0.0128121,0.0268837,0.0,0.0384928,0.0128971,0.0375597,0.065029,0.0808346,0.0,0.013739,0.0128764,0.0,0.0,0.0,0.0137433,0.0,0.0283429,0.0,0.0,0.0394534,0.0529071,0.0445174,0.0
RSPO2,0.0161352,0.0302069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288482,0.0,0.0,0.0137348,0.0,0.0141805,0.0,0.0
RSPO3,0.0,0.0,0.0,0.0,0.00862361,0.00889981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332076,0.0,0.0,0.0,0.0,0.0,0.00823068,0.0,0.00881592
RSPO4,0.00926431,0.017565,0.0,0.0168116,0.0,0.0172523,0.0246919,0.0,0.0,0.00787843,0.0,0.0,0.0,0.0265444,0.00832433,0.0,0.0246784,0.0,0.0178084,0.0,0.0,0.0166381,0.040064,0.0336774,0.0,0.0,0.0
RSPRY1,4.39224,4.41624,4.85687,5.022,5.47947,5.7333,5.15422,3.75063,4.95939,5.88403,4.74248,5.7591,5.1796,5.34701,5.11475,2.41399,2.74644,2.7668,4.49959,1.4339,3.09854,5.42096,6.12245,5.36479,4.99976,4.34564,3.86333
RSRC1,3.0487,3.72581,4.28365,3.75155,3.62589,4.2641,2.1883,1.46442,1.98658,1.79735,1.82941,1.65282,3.50193,3.27959,2.97297,1.6705,2.01842,1.86718,2.4698,0.833498,1.20413,1.75568,2.38263,2.10381,1.93912,1.57778,1.78184
RSRC2,13.7717,13.926,16.2743,13.4603,13.3986,15.0358,10.1638,7.50038,10.6193,9.06222,9.04305,8.67576,14.3988,13.3219,13.0627,4.70324,4.9701,4.66699,7.79028,2.41637,3.69132,8.04719,10.4477,9.9248,9.43478,7.57594,7.77741
RSRP1,5.56367,5.76794,7.0183,7.42002,8.19858,7.58804,11.4724,10.5861,13.5446,9.19524,11.0455,10.0597,8.10728,7.44054,6.70613,3.42121,4.5281,3.22421,5.70702,2.70681,3.97925,8.56085,9.23414,8.45499,8.71439,6.70966,8.05817
RSU1,14.2446,16.5662,17.6448,17.6982,15.7407,17.1465,14.4909,13.3629,13.2701,14.1668,14.8652,15.0799,14.6876,14.6772,12.8672,11.6003,12.6603,12.4819,13.3902,10.2986,12.8786,16.3116,15.6425,17.5964,16.3011,17.1715,16.4072
RTBDN,0.0193149,0.0367887,0.0,0.0360515,0.0174358,0.0184658,0.0336385,0.0507001,0.0339461,0.0,0.0172082,0.0176883,0.0738467,0.0370998,0.0346127,0.0664582,0.0330866,0.0323117,0.0,0.0698096,0.0751856,0.0838239,0.0,0.0170947,0.0173938,0.019138,0.0534854
RTCA,5.93087,5.88138,7.0144,8.3091,7.24889,7.01485,5.82426,4.87577,6.63109,5.4722,5.89621,5.09502,5.64377,6.31618,6.53469,6.67044,6.4128,5.8667,4.43796,3.38838,3.56306,6.13564,6.69257,6.46028,6.29431,5.93124,6.69406
RTCB,26.9983,26.8801,31.9518,28.4511,29.1007,29.4943,27.7567,28.9825,24.1311,29.7699,29.6159,29.3107,29.6951,25.2202,27.5864,41.6059,36.8802,40.0715,33.9542,31.8921,33.3425,30.4886,29.3184,27.682,28.7617,32.9115,31.523
RTEL1,4.68387,5.19476,3.68289,5.86636,5.92551,5.80334,5.4447,5.95329,5.53695,4.5395,4.90617,4.99351,4.47601,4.38176,4.8852,6.20734,6.24784,6.41839,7.41155,9.62258,9.04075,4.25926,4.29696,4.07279,6.24339,5.99241,5.58486
RTF1,9.22502,9.02436,8.64044,7.80093,8.59333,6.85732,10.4046,8.37392,10.8845,9.68395,9.83373,9.83574,9.13491,9.7689,10.1733,6.45435,7.89594,7.35352,10.2656,5.53421,7.91561,9.58426,10.2034,9.89662,9.49045,8.84675,9.03177
